Name,Price,Location,Rating,Sold
LENOVO THINKPAD YOGA X380 CORE i7 GEN 8 16GB/1TB SSD FREE TAS,Rp2.800.000,Jakarta Barat,4.9,250+ terjual
THINKPAD X1 YOGA 3RD GEN i7-8650U / 16GB RAM / 512GB SSD NVME/ FHD/PEN,Rp5.950.000,Bogor,4.9,40+ terjual
ASUS VivoBook 14 A1404ZA/X1404ZA Intel Core i3-1215U 8GB/512GB SSD 14.0'' Full HD Windows 11,Rp5.899.000,Jakarta Pusat,5.0,60+ terjual
LAPTOP AXIOO HYPE 1  | N4020 8GB 128GB Windows 11 14 HD,Rp2.669.000,Jakarta Utara,5.0,100+ terjual
LAPTOP SPEK TINGGI !! LENOVO T470s I7 6TH TOUCH RAM 8GB/512 SSD /WIN10,Rp3.050.000,Jakarta Barat,5.0,50+ terjual
LAPTOP NOTEBOOK MSI THIN 15 B13V i7-13620H 16GB DDR4 512GB NVME RTX 4050 WIN11 9S7-16R831-2406,Rp15.799.000,Jakarta Pusat,5.0,1 terjual
BAGUS BANGET !! Laptop Hp Elitebook 830 G7 i7 Gen 10 32gb/1tb ssd FREE TAS,Rp3.250.000,Jakarta Barat,4.8,50+ terjual
LAPTOP AXIOO HYPE 10 | N4020 8GB 256GB Windows 10 Pro,Rp2.749.000,Jakarta Utara,4.9,750+ terjual
Laptop HP ZBOOK 17 G5 Core i7 Gent 9 RAM 32GB SSD 1TB Double VGA NVIDIA QUADRO Rendering Gaming Editing,Rp2.700.000,Bandung,5.0,30+ terjual
Asus Vivobook 15 F1502ZA Touch Core I7 1255U 16Gb 1Tb SSD Win 11 FHD,Rp7.499.000,Jakarta Pusat,5.0,20 terjual
"Laptop ASUS ZENBOOK 14 OLED UM3402YA TOUCH RYZEN 5 7530 8GB 512 W11 14"" QHD IPS 2.8K",Rp9.699.000,Jakarta Utara,4.9,100+ terjual
ASUS EXPERTBOOK P1403CVA I7 13700H I5 13420H I3 1315 16GB 512GB SSD W11+OHS+O365B 14.0FHD 3Y -S67151WS S63850WS S65150WS,Rp6.849.000,Jakarta Utara,5.0,100+ terjual
